Ano;Mês;Data;Distrito;Concelho;Freguesia;Nível de Tensão;Energia Ativa (kWh);CodDistrito;CodDistritoConcelho;CodDistritoConcelhoFreguesia
2024;01;2024-01;SANTAREM;Cartaxo;VALADA;Muito Alta, Alta e Média Tensões;595281.025;14;1406;140605
2024;02;2024-02;AVEIRO;Santa Maria da Feira;ESCAPAES;Muito Alta, Alta e Média Tensões;62902.226;01;0109;010904
2024;02;2024-02;LEIRIA;Alcobaça;BARRIO;Muito Alta, Alta e Média Tensões;2910.654;10;1001;100104
2024;02;2024-02;PORTO;Vila Nova de Gaia;SAO FELIX DA MARINHA;Baixa Tensão;769065.751;13;1317;131717
2024;02;2024-02;VILA REAL;Valpaços;SONIM E BARREIROS;Baixa Tensão;18200.601;17;1712;171234
2024;01;2024-01;BRAGANCA;Macedo de Cavaleiros;VALE BENFEITO;Baixa Tensão;36724.743;04;0405;040532
2024;01;2024-01;SETUBAL;Almada;UF CHARNECA CAPARICA SOBREDA;Baixa Tensão;11112440.578;15;1503;150314
2024;01;2024-01;VISEU;Sátão;SAO MIGUEL DE VILA BOA;Muito Alta, Alta e Média Tensões;198407.613;18;1817;181709
2024;02;2024-02;BRAGANCA;Carrazeda de Ansiães;PARAMBOS;Baixa Tensão;11101.634;04;0403;040311
2024;02;2024-02;EVORA;Alandroal;UF ALANDROAL MATOS JUROMENHA;Muito Alta, Alta e Média Tensões;29652.674;07;0701;070107
2024;02;2024-02;FARO;Olhão;OLHAO;Muito Alta, Alta e Média Tensões;213480.565;08;0810;081003
2024;02;2024-02;PORTO;Felgueiras;AIRAES;Baixa Tensão;163475.606;13;1303;130302
2024;02;2024-02;SETUBAL;Alcácer do Sal;TORRAO;Muito Alta, Alta e Média Tensões;26548.52;15;1501;150104
2024;01;2024-01;BRAGA;Vila Nova de Famalicão;LOUSADO;Baixa Tensão;726795.536;03;0312;031224
2024;01;2024-01;BRAGANCA;Carrazeda de Ansiães;CARRAZEDA DE ANSIAES;Baixa Tensão;665330.273;04;0403;040304
2024;01;2024-01;BRAGANCA;Vinhais;AGROCHAO;Baixa Tensão;47417.741;04;0412;041201
2024;01;2024-01;LISBOA;Alenquer;OTA;Baixa Tensão;197754.61;11;1101;110109
2024;01;2024-01;VIANA DO CASTELO;Ponte de Lima;REBORDOES (SOUTO);Muito Alta, Alta e Média Tensões;37423.571;16;1607;160747
2024;02;2024-02;VISEU;São Pedro do Sul;VALADARES;Baixa Tensão;24298.089;18;1816;181617
2024;01;2024-01;BRAGA;Guimarães;LORDELO;Muito Alta, Alta e Média Tensões;3746105.865;03;0308;030828
2024;02;2024-02;BEJA;Ferreira do Alentejo;UF ALFUNDAO E PEROGUARDA;Muito Alta, Alta e Média Tensões;13114.948;02;0208;020807
2024;02;2024-02;FARO;Vila do Bispo;SAGRES;Baixa Tensão;265654.277;08;0815;081504
2024;02;2024-02;GUARDA;Seia;UF CARRAGOZELA VARZEA MERUGE;Baixa Tensão;31914.607;09;0912;091230
2024;02;2024-02;LEIRIA;Caldas da Rainha;VIDAIS;Muito Alta, Alta e Média Tensões;30345.969;10;1006;100615
2024;01;2024-01;AVEIRO;Oliveira de Azeméis;UF P BEMPOSTA TRAVANCA PALMAZ;Muito Alta, Alta e Média Tensões;509474.592;01;0113;011322
2024;01;2024-01;BRAGA;Terras de Bouro;VILAR DA VEIGA;Baixa Tensão;311883.831;03;0310;031017
2024;01;2024-01;BRAGANCA;Macedo de Cavaleiros;LOMBO;Baixa Tensão;52990.979;04;0405;040519
2024;01;2024-01;CASTELO BRANCO;Sertã;UF ERMIDA E FIGUEIREDO;Baixa Tensão;53786.359;05;0509;050917
2024;01;2024-01;FARO;Lagoa;UF LAGOA E CARVOEIRO;Muito Alta, Alta e Média Tensões;883750.711;08;0806;080608
2024;01;2024-01;PORTO;Felgueiras;UF PEDREIRA RANDE E SERNANDE;Muito Alta, Alta e Média Tensões;399240.013;13;1303;130336
2024;01;2024-01;PORTO;Vila do Conde;ARVORE;Muito Alta, Alta e Média Tensões;322283.933;13;1316;131602
2024;01;2024-01;SANTAREM;Mação;CARVOEIRO;Baixa Tensão;92732.552;14;1413;141304
2024;02;2024-02;FARO;Olhão;PECHAO;Muito Alta, Alta e Média Tensões;70028.484;08;0810;081004
