Ano;Mês;data;Distrito;Concelho;Freguesia;Inclui contador inteligente;Número de CPE's;CodDistrito;CodDistritoConcelho;CodDistritoConcelhoFreguesia;Contrato Ativo
2024;2;2024-02;Braga;Guimarães;União das freguesias de Abação e Gémeos;NÃO;58;03;0308;030875;SIM
2024;2;2024-02;Braga;Vieira do Minho;Eira Vedra;SIM;331;03;0311;031107;SIM
2024;2;2024-02;Braga;Vila Nova de Famalicão;União das freguesias de Seide;SIM;199;03;0312;031258;SIM
2024;2;2024-02;Bragança;Alfândega da Fé;União das freguesias de Eucisia, Gouveia e Valverde;SIM;325;04;0401;040122;SIM
2024;2;2024-02;Bragança;Bragança;Espinhosela;NÃO;230;04;0402;040213;SIM
2024;2;2024-02;Bragança;Bragança;Gondesende;NÃO;84;04;0402;040217;SIM
2024;2;2024-02;Bragança;Carrazeda de Ansiães;União das freguesias de Castanheiro do Norte e Ribalonga;NÃO;19;04;0403;040322;SIM
2024;2;2024-02;Bragança;Miranda do douro;Palaçoulo;SIM;295;04;0406;040609;SIM
2024;2;2024-02;Bragança;Mirandela;Carvalhais;SIM;719;04;0407;040711;SIM
2024;2;2024-02;Bragança;Mirandela;São Pedro Velho;NÃO;36;04;0407;040727;SIM
2024;2;2024-02;Bragança;Mirandela;Torre de Dona Chama;SIM;644;04;0407;040730;SIM
2024;2;2024-02;Castelo Branco;Covilhã;União das freguesias de Covilhã e Canhoso;SIM;14488;05;0503;050335;SIM
2024;2;2024-02;Castelo Branco;Fundão;Castelo Novo;NÃO;60;05;0504;050413;SIM
2024;2;2024-02;Castelo Branco;Idanha-a-Nova;União das freguesias de Idanha-a-Nova e Alcafozes;SIM;2030;05;0505;050518;SIM
2024;2;2024-02;Castelo Branco;Sertã;Pedrógão Pequeno;NÃO;325;05;0509;050911;SIM
2024;2;2024-02;Coimbra;Cantanhede;São Caetano;SIM;486;06;0602;060215;SIM
2024;2;2024-02;Coimbra;Oliveira do Hospital;União das freguesias de Lagos da Beira e Lajeosa;NÃO;431;06;0611;061123;SIM
2024;2;2024-02;Coimbra;Penela;Cumeeira;SIM;581;06;0614;061401;SIM
2024;2;2024-02;Coimbra;Penela;União das freguesias de São Miguel, Santa Eufémia e Rabaçal;NÃO;172;06;0614;061407;SIM
2024;2;2024-02;Évora;Alandroal;Terena (São Pedro);SIM;600;07;0701;070105;SIM
2024;2;2024-02;Évora;Borba;Orada;NÃO;297;07;0703;070302;SIM
2024;2;2024-02;Faro;Albufeira;Guia;NÃO;2850;08;0801;080102;SIM
2024;2;2024-02;Faro;Lagos;São Gonçalo de Lagos;SIM;22844;08;0807;080708;SIM
2024;2;2024-02;Guarda;Celorico da Beira;Baraçal;SIM;200;09;0903;090302;SIM
2024;2;2024-02;Guarda;Figueira de Castelo Rodrigo;União das freguesias de Almofala e Escarigo;SIM;333;09;0904;090419;SIM
2024;2;2024-02;Guarda;Manteigas;Vale de Amoreira;NÃO;127;09;0908;090804;SIM
2024;2;2024-02;Guarda;Sabugal;Alfaiates;NÃO;52;09;0911;091107;SIM
2024;2;2024-02;Guarda;Sabugal;União das freguesias de Pousafoles do Bispo, Pena Lobo e Lomba;SIM;182;09;0911;091143;SIM
2024;2;2024-02;Guarda;Seia;Pinhanços;NÃO;41;09;0912;091209;SIM
2024;2;2024-02;Guarda;Trancoso;União das freguesias de Trancoso (São Pedro e Santa Maria) e Souto Maior;SIM;2644;09;0913;091332;SIM
2024;2;2024-02;Guarda;Vila Nova de Foz Côa;Sebadelhe;NÃO;143;09;0914;091414;SIM
2024;2;2024-02;Leiria;Alcobaça;Aljubarrota;NÃO;179;10;1001;100120;SIM
2024;2;2024-02;Leiria;Ansião;Alvorge;SIM;750;10;1003;100301;SIM
2024;2;2024-02;Leiria;Ansião;Ansião;SIM;2599;10;1003;100309;SIM
2024;2;2024-02;Leiria;Caldas da Rainha;União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório;SIM;13932;10;1006;100617;SIM
2024;2;2024-02;Leiria;Peniche;Peniche;NÃO;268;10;1014;101407;SIM
2024;2;2024-02;Leiria;Pombal;Carnide;SIM;930;10;1015;101504;SIM
2024;2;2024-02;Leiria;Porto de Mós;União das freguesias de Alvados e Alcaria;NÃO;33;10;1016;101615;SIM
2024;2;2024-02;Lisboa;Azambuja;União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa;NÃO;90;11;1103;110310;SIM
2024;2;2024-02;Lisboa;Lisboa;Alvalade;NÃO;1105;11;1106;110654;SIM
2024;2;2024-02;Lisboa;Lisboa;Belém;NÃO;669;11;1106;110658;SIM
2024;2;2024-02;Lisboa;Lisboa;Campo de Ourique;NÃO;1032;11;1106;110659;SIM
2024;2;2024-02;Lisboa;Lisboa;Campo de Ourique;SIM;15535;11;1106;110659;SIM
2024;2;2024-02;Lisboa;Mafra;Milharado;NÃO;1729;11;1109;110911;SIM
2024;2;2024-02;Portalegre;Alter do Chão;Cunheira;SIM;315;12;1201;120104;SIM
2024;2;2024-02;Portalegre;Marvão;Santa Maria de Marvão;NÃO;67;12;1210;121002;SIM
2024;2;2024-02;Porto;Amarante;União das freguesias de Vila Garcia, Aboim e Chapa;SIM;387;13;1301;130148;SIM
2024;2;2024-02;Porto;Baião;União das freguesias de Campelo e Ovil;NÃO;1513;13;1302;130223;SIM
2024;2;2024-02;Porto;Gondomar;União das freguesias de Foz do Sousa e Covelo;NÃO;275;13;1304;130414;SIM
2024;2;2024-02;Porto;Lousada;União das freguesias de Silvares, Pias, Nogueira e Alvarenga;SIM;2662;13;1305;130532;SIM
2024;2;2024-02;Porto;Maia;Águas Santas;NÃO;733;13;1306;130601;SIM
2024;2;2024-02;Porto;Paredes;Parada de Todeia;NÃO;98;13;1310;131017;SIM
2024;2;2024-02;Porto;Penafiel;Rio Mau;NÃO;50;13;1311;131138;SIM
